user   precision   recall   f1-score   accuracy
  1      0.76       0.91      0.83      0.70
  2      0.81       0.90      0.85      0.74
  3      0.78       0.89      0.83      0.71
  4      0.96       0.99      0.97      0.95
  5      0.80       0.89      0.84      0.73
  6      0.90       0.90      0.90      0.81
  7      0.90       0.88      0.89      0.80
  8      0.93       0.92      0.92      0.86
  9      0.93       0.91      0.92      0.86
 10      0.88       0.86      0.87      0.77
 11      0.87       0.85      0.86      0.76
 12      0.90       0.78      0.83      0.71
 13      0.94       0.85      0.89      0.81
 14      0.94       0.83      0.88      0.79
 15      0.95       0.81      0.87      0.78

avg      0.88       0.88      0.88      0.78
