user   precision   recall   f1-score   accuracy
  1      1.00       1.00      1.00      1.00
  2      1.00       1.00      1.00      1.00
  3      1.00       1.00      1.00      1.00
  4      1.00       1.00      1.00      1.00
  5      1.00       1.00      1.00      1.00
  6      0.99       0.98      0.98      0.96
  7      1.00       1.00      1.00      1.00
  8      1.00       1.00      1.00      1.00
  9      0.95       1.00      0.98      0.95
 10      1.00       1.00      1.00      1.00
 11      1.00       1.00      1.00      1.00
 12      1.00       1.00      1.00      1.00
 13      1.00       1.00      1.00      1.00
 14      1.00       1.00      1.00      1.00
 15      1.00       0.95      0.97      0.95

avg      1.00       0.99      1.00      0.99
