user   precision   recall   f1-score   accuracy
  1      0.92       0.92      0.92      0.85
  2      0.97       0.95      0.96      0.92
  3      0.85       0.90      0.88      0.78
  4      0.96       1.00      0.98      0.96
  5      0.89       0.89      0.89      0.80
  6      0.98       0.94      0.96      0.92
  7      0.90       0.88      0.89      0.81
  8      0.98       0.98      0.98      0.96
  9      0.99       0.99      0.99      0.98
 10      0.93       0.91      0.92      0.85
 11      0.97       0.96      0.96      0.93
 12      0.95       0.95      0.95      0.90
 13      0.94       0.97      0.96      0.91
 14      0.98       0.97      0.98      0.96
 15      0.96       0.94      0.95      0.90

avg      0.95       0.94      0.94      0.90
